T,	F,	B,	Eta,	Ecin,	Epot
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 1.000, 5.000, 1.000, 0.987, 4.585
2.000, 1.000, 5.000, 10.000, 1.001, 4.616
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 1.000, 5.000, 1.000, 0.987, 4.585
2.000, 1.000, 5.000, 10.000, 1.001, 4.616
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 1.000, 5.000, 1.000, 0.987, 4.585
2.000, 1.000, 5.000, 10.000, 1.001, 4.616
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 1.000, 5.000, 1.000, 0.987, 4.585
2.000, 1.000, 5.000, 10.000, 1.001, 4.616
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 1.000, 5.000, 1.000, 0.987, 4.585
2.000, 1.000, 5.000, 10.000, 1.001, 4.616
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
2.000, 0.000, 5.000, 10.000, 1.001, 4.167
2.000, 1.000, 1.000, 1.000, 0.995, 1.315
2.000, 1.000, 1.000, 10.000, 1.003, 1.314
2.000, 1.000, 5.000, 1.000, 0.987, 4.585
2.000, 1.000, 5.000, 10.000, 1.001, 4.616
2.000, 0.000, 1.000, 1.000, 0.992, 1.039
2.000, 0.000, 1.000, 10.000, 1.003, 1.045
2.000, 0.000, 5.000, 1.000, 0.990, 4.138
