T,F,B,Eta,Ecin,Epot
1.000, -5.000, 2.000, 1.000, 0.498, 3.649
1.000, -4.950, 2.000, 1.000, 0.498, 3.633
1.000, -4.900, 2.000, 1.000, 0.498, 3.617
1.000, -4.850, 2.000, 1.000, 0.497, 3.601
1.000, -4.800, 2.000, 1.000, 0.497, 3.585
1.000, -4.750, 2.000, 1.000, 0.497, 3.569
1.000, -4.700, 2.000, 1.000, 0.497, 3.553
1.000, -4.650, 2.000, 1.000, 0.497, 3.537
1.000, -4.600, 2.000, 1.000, 0.496, 3.521
1.000, -4.550, 2.000, 1.000, 0.496, 3.504
1.000, -4.500, 2.000, 1.000, 0.496, 3.488
1.000, -4.450, 2.000, 1.000, 0.496, 3.471
1.000, -4.400, 2.000, 1.000, 0.495, 3.455
1.000, -4.350, 2.000, 1.000, 0.495, 3.438
1.000, -4.300, 2.000, 1.000, 0.495, 3.421
1.000, -4.250, 2.000, 1.000, 0.494, 3.405
1.000, -4.200, 2.000, 1.000, 0.494, 3.388
1.000, -4.150, 2.000, 1.000, 0.494, 3.371
1.000, -4.100, 2.000, 1.000, 0.494, 3.354
1.000, -4.050, 2.000, 1.000, 0.493, 3.337
1.000, -4.000, 2.000, 1.000, 0.493, 3.319
1.000, -3.950, 2.000, 1.000, 0.493, 3.302
1.000, -3.900, 2.000, 1.000, 0.492, 3.285
1.000, -3.850, 2.000, 1.000, 0.492, 3.267
1.000, -3.800, 2.000, 1.000, 0.492, 3.249
1.000, -3.750, 2.000, 1.000, 0.492, 3.232
1.000, -3.700, 2.000, 1.000, 0.492, 3.214
1.000, -3.650, 2.000, 1.000, 0.492, 3.196
1.000, -3.600, 2.000, 1.000, 0.491, 3.177
1.000, -3.550, 2.000, 1.000, 0.491, 3.159
1.000, -3.500, 2.000, 1.000, 0.491, 3.141
1.000, -3.450, 2.000, 1.000, 0.491, 3.122
1.000, -3.400, 2.000, 1.000, 0.491, 3.103
1.000, -3.350, 2.000, 1.000, 0.491, 3.084
1.000, -3.300, 2.000, 1.000, 0.492, 3.065
1.000, -3.250, 2.000, 1.000, 0.492, 3.046
1.000, -3.200, 2.000, 1.000, 0.491, 3.027
1.000, -3.150, 2.000, 1.000, 0.491, 3.007
1.000, -3.100, 2.000, 1.000, 0.491, 2.987
1.000, -3.050, 2.000, 1.000, 0.491, 2.968
1.000, -3.000, 2.000, 1.000, 0.491, 2.948
1.000, -2.950, 2.000, 1.000, 0.491, 2.928
1.000, -2.900, 2.000, 1.000, 0.490, 2.908
1.000, -2.850, 2.000, 1.000, 0.490, 2.888
1.000, -2.800, 2.000, 1.000, 0.490, 2.867
1.000, -2.750, 2.000, 1.000, 0.490, 2.847
1.000, -2.700, 2.000, 1.000, 0.490, 2.825
1.000, -2.650, 2.000, 1.000, 0.490, 2.803
1.000, -2.600, 2.000, 1.000, 0.491, 2.782
1.000, -2.550, 2.000, 1.000, 0.491, 2.760
1.000, -2.500, 2.000, 1.000, 0.490, 2.739
1.000, -2.450, 2.000, 1.000, 0.490, 2.717
1.000, -2.400, 2.000, 1.000, 0.490, 2.695
1.000, -2.350, 2.000, 1.000, 0.490, 2.672
1.000, -2.300, 2.000, 1.000, 0.490, 2.649
1.000, -2.250, 2.000, 1.000, 0.489, 2.627
1.000, -2.200, 2.000, 1.000, 0.489, 2.602
1.000, -2.150, 2.000, 1.000, 0.490, 2.578
1.000, -2.100, 2.000, 1.000, 0.490, 2.555
1.000, -2.050, 2.000, 1.000, 0.491, 2.531
1.000, -2.000, 2.000, 1.000, 0.490, 2.507
1.000, -1.950, 2.000, 1.000, 0.490, 2.481
1.000, -1.900, 2.000, 1.000, 0.491, 2.455
1.000, -1.850, 2.000, 1.000, 0.492, 2.428
1.000, -1.800, 2.000, 1.000, 0.493, 2.402
1.000, -1.750, 2.000, 1.000, 0.495, 2.375
1.000, -1.700, 2.000, 1.000, 0.495, 2.351
1.000, -1.650, 2.000, 1.000, 0.494, 2.326
1.000, -1.600, 2.000, 1.000, 0.495, 2.300
1.000, -1.550, 2.000, 1.000, 0.496, 2.271
1.000, -1.500, 2.000, 1.000, 0.496, 2.247
1.000, -1.450, 2.000, 1.000, 0.494, 2.220
1.000, -1.400, 2.000, 1.000, 0.495, 2.195
1.000, -1.350, 2.000, 1.000, 0.496, 2.165
1.000, -1.300, 2.000, 1.000, 0.495, 2.138
1.000, -1.250, 2.000, 1.000, 0.496, 2.112
1.000, -1.200, 2.000, 1.000, 0.496, 2.090
1.000, -1.150, 2.000, 1.000, 0.497, 2.062
1.000, -1.100, 2.000, 1.000, 0.495, 2.035
1.000, -1.050, 2.000, 1.000, 0.494, 2.007
1.000, -1.000, 2.000, 1.000, 0.495, 1.985
1.000, -0.950, 2.000, 1.000, 0.496, 1.957
1.000, -0.900, 2.000, 1.000, 0.497, 1.928
1.000, -0.850, 2.000, 1.000, 0.498, 1.912
1.000, -0.800, 2.000, 1.000, 0.498, 1.886
1.000, -0.750, 2.000, 1.000, 0.497, 1.858
1.000, -0.700, 2.000, 1.000, 0.498, 1.840
1.000, -0.650, 2.000, 1.000, 0.500, 1.817
1.000, -0.600, 2.000, 1.000, 0.500, 1.794
1.000, -0.550, 2.000, 1.000, 0.499, 1.779
1.000, -0.500, 2.000, 1.000, 0.496, 1.757
1.000, -0.450, 2.000, 1.000, 0.498, 1.738
1.000, -0.400, 2.000, 1.000, 0.499, 1.726
1.000, -0.350, 2.000, 1.000, 0.498, 1.710
1.000, -0.300, 2.000, 1.000, 0.500, 1.697
1.000, -0.250, 2.000, 1.000, 0.500, 1.682
1.000, -0.200, 2.000, 1.000, 0.501, 1.680
1.000, -0.150, 2.000, 1.000, 0.499, 1.675
1.000, -0.100, 2.000, 1.000, 0.498, 1.673
1.000, -0.050, 2.000, 1.000, 0.500, 1.670
1.000, 0.000, 2.000, 1.000, 0.496, 1.669
1.000, 0.050, 2.000, 1.000, 0.498, 1.670
1.000, 0.100, 2.000, 1.000, 0.498, 1.669
1.000, 0.150, 2.000, 1.000, 0.497, 1.675
1.000, 0.200, 2.000, 1.000, 0.496, 1.679
1.000, 0.250, 2.000, 1.000, 0.497, 1.687
1.000, 0.300, 2.000, 1.000, 0.497, 1.698
1.000, 0.350, 2.000, 1.000, 0.495, 1.709
1.000, 0.400, 2.000, 1.000, 0.493, 1.723
1.000, 0.450, 2.000, 1.000, 0.492, 1.737
1.000, 0.500, 2.000, 1.000, 0.494, 1.748
1.000, 0.550, 2.000, 1.000, 0.493, 1.769
1.000, 0.600, 2.000, 1.000, 0.495, 1.790
1.000, 0.650, 2.000, 1.000, 0.496, 1.811
1.000, 0.700, 2.000, 1.000, 0.496, 1.831
1.000, 0.750, 2.000, 1.000, 0.498, 1.854
1.000, 0.800, 2.000, 1.000, 0.499, 1.876
1.000, 0.850, 2.000, 1.000, 0.495, 1.898
1.000, 0.900, 2.000, 1.000, 0.497, 1.926
1.000, 0.950, 2.000, 1.000, 0.498, 1.946
1.000, 1.000, 2.000, 1.000, 0.499, 1.971
1.000, 1.050, 2.000, 1.000, 0.498, 1.998
1.000, 1.100, 2.000, 1.000, 0.498, 2.024
1.000, 1.150, 2.000, 1.000, 0.498, 2.050
1.000, 1.200, 2.000, 1.000, 0.497, 2.076
1.000, 1.250, 2.000, 1.000, 0.497, 2.105
1.000, 1.300, 2.000, 1.000, 0.496, 2.133
1.000, 1.350, 2.000, 1.000, 0.498, 2.159
1.000, 1.400, 2.000, 1.000, 0.499, 2.182
1.000, 1.450, 2.000, 1.000, 0.497, 2.212
1.000, 1.500, 2.000, 1.000, 0.497, 2.238
1.000, 1.550, 2.000, 1.000, 0.497, 2.266
1.000, 1.600, 2.000, 1.000, 0.496, 2.293
1.000, 1.650, 2.000, 1.000, 0.495, 2.317
1.000, 1.700, 2.000, 1.000, 0.496, 2.344
1.000, 1.750, 2.000, 1.000, 0.497, 2.367
1.000, 1.800, 2.000, 1.000, 0.496, 2.396
1.000, 1.850, 2.000, 1.000, 0.495, 2.424
1.000, 1.900, 2.000, 1.000, 0.494, 2.450
1.000, 1.950, 2.000, 1.000, 0.493, 2.476
1.000, 2.000, 2.000, 1.000, 0.494, 2.500
1.000, 2.050, 2.000, 1.000, 0.494, 2.525
1.000, 2.100, 2.000, 1.000, 0.494, 2.548
1.000, 2.150, 2.000, 1.000, 0.494, 2.571
1.000, 2.200, 2.000, 1.000, 0.494, 2.595
1.000, 2.250, 2.000, 1.000, 0.495, 2.617
1.000, 2.300, 2.000, 1.000, 0.495, 2.639
1.000, 2.350, 2.000, 1.000, 0.495, 2.661
1.000, 2.400, 2.000, 1.000, 0.494, 2.684
1.000, 2.450, 2.000, 1.000, 0.494, 2.707
1.000, 2.500, 2.000, 1.000, 0.495, 2.728
1.000, 2.550, 2.000, 1.000, 0.496, 2.750
1.000, 2.600, 2.000, 1.000, 0.496, 2.771
1.000, 2.650, 2.000, 1.000, 0.496, 2.792
1.000, 2.700, 2.000, 1.000, 0.496, 2.814
1.000, 2.750, 2.000, 1.000, 0.496, 2.835
1.000, 2.800, 2.000, 1.000, 0.496, 2.856
1.000, 2.850, 2.000, 1.000, 0.496, 2.877
1.000, 2.900, 2.000, 1.000, 0.496, 2.897
1.000, 2.950, 2.000, 1.000, 0.497, 2.918
1.000, 3.000, 2.000, 1.000, 0.497, 2.938
1.000, 3.050, 2.000, 1.000, 0.497, 2.958
1.000, 3.100, 2.000, 1.000, 0.497, 2.978
1.000, 3.150, 2.000, 1.000, 0.497, 2.998
1.000, 3.200, 2.000, 1.000, 0.497, 3.017
1.000, 3.250, 2.000, 1.000, 0.497, 3.036
1.000, 3.300, 2.000, 1.000, 0.497, 3.056
1.000, 3.350, 2.000, 1.000, 0.496, 3.075
1.000, 3.400, 2.000, 1.000, 0.496, 3.094
