T,F,B,Eta,-x,+x
1.000, -5.000, 2.000,  1.000, 1.000, 0.000
1.000, -4.950, 2.000,  1.000, 1.000, 0.000
1.000, -4.900, 2.000,  1.000, 1.000, 0.000
1.000, -4.850, 2.000,  1.000, 1.000, 0.000
1.000, -4.800, 2.000,  1.000, 1.000, 0.000
1.000, -4.750, 2.000,  1.000, 1.000, 0.000
1.000, -4.700, 2.000,  1.000, 1.000, 0.000
1.000, -4.650, 2.000,  1.000, 1.000, 0.000
1.000, -4.600, 2.000,  1.000, 0.999, 0.001
1.000, -4.550, 2.000,  1.000, 0.999, 0.001
1.000, -4.500, 2.000,  1.000, 0.999, 0.001
1.000, -4.450, 2.000,  1.000, 0.999, 0.001
1.000, -4.400, 2.000,  1.000, 0.999, 0.001
1.000, -4.350, 2.000,  1.000, 0.999, 0.001
1.000, -4.300, 2.000,  1.000, 0.999, 0.001
1.000, -4.250, 2.000,  1.000, 0.999, 0.001
1.000, -4.200, 2.000,  1.000, 0.999, 0.001
1.000, -4.150, 2.000,  1.000, 0.999, 0.001
1.000, -4.100, 2.000,  1.000, 0.999, 0.001
1.000, -4.050, 2.000,  1.000, 0.999, 0.001
1.000, -4.000, 2.000,  1.000, 0.999, 0.001
1.000, -3.950, 2.000,  1.000, 0.999, 0.001
1.000, -3.900, 2.000,  1.000, 0.999, 0.001
1.000, -3.850, 2.000,  1.000, 0.999, 0.001
1.000, -3.800, 2.000,  1.000, 0.999, 0.001
1.000, -3.750, 2.000,  1.000, 0.998, 0.002
1.000, -3.700, 2.000,  1.000, 0.998, 0.002
1.000, -3.650, 2.000,  1.000, 0.998, 0.002
1.000, -3.600, 2.000,  1.000, 0.998, 0.002
1.000, -3.550, 2.000,  1.000, 0.998, 0.002
1.000, -3.500, 2.000,  1.000, 0.997, 0.003
1.000, -3.450, 2.000,  1.000, 0.997, 0.003
1.000, -3.400, 2.000,  1.000, 0.997, 0.003
1.000, -3.350, 2.000,  1.000, 0.997, 0.003
1.000, -3.300, 2.000,  1.000, 0.996, 0.004
1.000, -3.250, 2.000,  1.000, 0.996, 0.004
1.000, -3.200, 2.000,  1.000, 0.996, 0.004
1.000, -3.150, 2.000,  1.000, 0.995, 0.005
1.000, -3.100, 2.000,  1.000, 0.995, 0.005
1.000, -3.050, 2.000,  1.000, 0.994, 0.006
1.000, -3.000, 2.000,  1.000, 0.994, 0.006
1.000, -2.950, 2.000,  1.000, 0.993, 0.007
1.000, -2.900, 2.000,  1.000, 0.993, 0.007
1.000, -2.850, 2.000,  1.000, 0.992, 0.008
1.000, -2.800, 2.000,  1.000, 0.991, 0.009
1.000, -2.750, 2.000,  1.000, 0.990, 0.010
1.000, -2.700, 2.000,  1.000, 0.989, 0.011
1.000, -2.650, 2.000,  1.000, 0.988, 0.012
1.000, -2.600, 2.000,  1.000, 0.987, 0.013
1.000, -2.550, 2.000,  1.000, 0.986, 0.014
1.000, -2.500, 2.000,  1.000, 0.985, 0.015
1.000, -2.450, 2.000,  1.000, 0.984, 0.016
1.000, -2.400, 2.000,  1.000, 0.983, 0.017
1.000, -2.350, 2.000,  1.000, 0.981, 0.019
1.000, -2.300, 2.000,  1.000, 0.979, 0.021
1.000, -2.250, 2.000,  1.000, 0.978, 0.022
1.000, -2.200, 2.000,  1.000, 0.975, 0.025
1.000, -2.150, 2.000,  1.000, 0.972, 0.028
1.000, -2.100, 2.000,  1.000, 0.970, 0.030
1.000, -2.050, 2.000,  1.000, 0.968, 0.032
1.000, -2.000, 2.000,  1.000, 0.965, 0.035
1.000, -1.950, 2.000,  1.000, 0.962, 0.038
1.000, -1.900, 2.000,  1.000, 0.959, 0.041
1.000, -1.850, 2.000,  1.000, 0.955, 0.045
1.000, -1.800, 2.000,  1.000, 0.951, 0.049
1.000, -1.750, 2.000,  1.000, 0.946, 0.054
1.000, -1.700, 2.000,  1.000, 0.943, 0.057
1.000, -1.650, 2.000,  1.000, 0.939, 0.061
1.000, -1.600, 2.000,  1.000, 0.933, 0.067
1.000, -1.550, 2.000,  1.000, 0.929, 0.071
1.000, -1.500, 2.000,  1.000, 0.923, 0.077
1.000, -1.450, 2.000,  1.000, 0.916, 0.084
1.000, -1.400, 2.000,  1.000, 0.911, 0.089
1.000, -1.350, 2.000,  1.000, 0.903, 0.097
1.000, -1.300, 2.000,  1.000, 0.895, 0.105
1.000, -1.250, 2.000,  1.000, 0.889, 0.111
1.000, -1.200, 2.000,  1.000, 0.884, 0.116
1.000, -1.150, 2.000,  1.000, 0.875, 0.125
1.000, -1.100, 2.000,  1.000, 0.866, 0.134
1.000, -1.050, 2.000,  1.000, 0.854, 0.146
1.000, -1.000, 2.000,  1.000, 0.845, 0.155
1.000, -0.950, 2.000,  1.000, 0.828, 0.172
1.000, -0.900, 2.000,  1.000, 0.814, 0.186
1.000, -0.850, 2.000,  1.000, 0.806, 0.194
1.000, -0.800, 2.000,  1.000, 0.792, 0.208
1.000, -0.750, 2.000,  1.000, 0.773, 0.227
1.000, -0.700, 2.000,  1.000, 0.763, 0.237
1.000, -0.650, 2.000,  1.000, 0.746, 0.254
1.000, -0.600, 2.000,  1.000, 0.728, 0.272
1.000, -0.550, 2.000,  1.000, 0.718, 0.282
1.000, -0.500, 2.000,  1.000, 0.700, 0.300
1.000, -0.450, 2.000,  1.000, 0.680, 0.320
1.000, -0.400, 2.000,  1.000, 0.664, 0.336
1.000, -0.350, 2.000,  1.000, 0.645, 0.355
1.000, -0.300, 2.000,  1.000, 0.626, 0.374
1.000, -0.250, 2.000,  1.000, 0.604, 0.396
1.000, -0.200, 2.000,  1.000, 0.586, 0.414
1.000, -0.150, 2.000,  1.000, 0.567, 0.433
1.000, -0.100, 2.000,  1.000, 0.545, 0.455
1.000, -0.050, 2.000,  1.000, 0.524, 0.476
1.000, 0.000, 2.000,  1.000, 0.505, 0.495
1.000, 0.050, 2.000,  1.000, 0.481, 0.519
1.000, 0.100, 2.000,  1.000, 0.463, 0.537
1.000, 0.150, 2.000,  1.000, 0.445, 0.555
1.000, 0.200, 2.000,  1.000, 0.424, 0.576
1.000, 0.250, 2.000,  1.000, 0.407, 0.593
1.000, 0.300, 2.000,  1.000, 0.379, 0.621
1.000, 0.350, 2.000,  1.000, 0.361, 0.639
1.000, 0.400, 2.000,  1.000, 0.342, 0.658
1.000, 0.450, 2.000,  1.000, 0.332, 0.668
1.000, 0.500, 2.000,  1.000, 0.314, 0.686
1.000, 0.550, 2.000,  1.000, 0.295, 0.705
1.000, 0.600, 2.000,  1.000, 0.276, 0.724
1.000, 0.650, 2.000,  1.000, 0.259, 0.741
