4, 1.00, 1.49, 0.50
8, 1.00, 1.49, 0.50
16, 1.00, 1.49, 0.50
32, 1.00, 1.49, 0.49
64, 1.00, 1.49, 0.47
4, 1.000, 1.491, 0.502, 0.711
8, 1.000, 1.495, 0.499, 0.709
16, 1.000, 1.491, 0.497, 0.708
32, 1.000, 1.492, 0.490, 0.711
64, 1.000, 1.493, 0.467, 0.712
4, 1.000, 1.491, 0.502, 0.356
8, 1.000, 1.495, 0.499, 0.356
16, 1.000, 1.491, 0.497, 0.356
32, 1.000, 1.492, 0.490, 0.364
4, 1.000, 1.491, 0.502, -nan
8, 1.000, 1.495, 0.499, -nan
16, 1.000, 1.491, 0.497, -nan
32, 1.000, 1.492, 0.490, -nan
64, 1.000, 1.493, 0.467, -nan
