
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
5, -5.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.21

5, -4.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.20

5, -4.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.17

5, -4.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.16

5, -4.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.13

5, -4.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.11

5, -4.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.10

5, -4.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.08

5, -4.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.06

5, -4.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.04

5, -4.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -3.01

5, -3.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.98

5, -3.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.96

5, -3.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.93

5, -3.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.90

5, -3.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.87

5, -3.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.83

5, -3.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.80

5, -3.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.76

5, -3.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.73

5, -3.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.68

5, -2.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.65

5, -2.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.61

5, -2.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.57

5, -2.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.51

5, -2.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.46

5, -2.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.40

5, -2.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.35

5, -2.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.29

5, -2.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.22

5, -2.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.16

5, -1.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.09

5, -1.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -2.00

5, -1.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.92

5, -1.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.83

5, -1.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.74

5, -1.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.66

5, -1.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.55

5, -1.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.46

5, -1.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.36

5, -1.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.26

5, -0.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.13

5, -0.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -1.03

5, -0.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.90

5, -0.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.78

5, -0.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.68

5, -0.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.54

5, -0.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.41

5, -0.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.29

5, -0.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.13

5, 0.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, -0.03

5, 0.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.13

5, 0.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.24

5, 0.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.36

5, 0.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.52

5, 0.50, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.65

5, 0.60, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.77

5, 0.70, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 0.89

5, 0.80, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.02

5, 0.90, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.11

5, 1.00, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.26

5, 1.10, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.35

5, 1.20, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.45

5, 1.30, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.55

5, 1.40, 1.000, 1.00, 1.00, 1000.00, 5.0e+03, 1.0e-03, 1.66

