
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err
5, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, -0.06, -0.06, 0.78

5, 0.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 0.22, 0.21, 1.47

5, 0.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 0.50, 0.49, 2.08

5, 0.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 0.87, 0.84, 2.38

5, 0.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 1.07, 1.04, 1.35

5, 1.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 1.32, 1.28, 2.06

5, 1.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 1.49, 1.44, 1.33

5, 1.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 1.74, 1.68, 1.54

5, 1.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 1.96, 1.89, 2.41

5, 1.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.10, 2.03, 1.24

5, 2.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.30, 2.22, 1.86

5, 2.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.41, 2.32, 1.00

5, 2.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.53, 2.44, 1.12

5, 2.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.64, 2.54, 0.57

5, 2.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.74, 2.63, 0.62

5, 3.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.86, 2.74, 0.53

5, 3.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.91, 2.79, 0.46

5, 3.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 2.96, 2.82, 0.71

5, 3.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.05, 2.91, 0.78

5, 3.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.13, 2.98, 0.95

5, 4.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.18, 3.02, 0.28

5, 4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.23, 3.06, 0.34

5, 4.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.29, 3.12, 0.30

5, 4.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.34, 3.15, 0.23

5, 4.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.37, 3.18, 0.12

5, 5.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.42, 3.22, 0.17

5, 5.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.45, 3.24, 0.28

5, 5.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.50, 3.28, 0.25

5, 5.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.52, 3.30, 0.05

5, 5.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.56, 3.32, 0.16

5, 6.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.59, 3.35, 0.06

5, 6.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.63, 3.38, 0.01

5, 6.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.65, 3.39, 0.12

5, 6.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.67, 3.41, 0.17

5, 6.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.70, 3.43, 0.30

5, 7.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.72, 3.44, 0.25

5, 7.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.75, 3.46, 0.34

5, 7.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.78, 3.48, 0.37

5, 7.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.80, 3.50, 0.38

5, 7.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.82, 3.51, 0.38

5, 8.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.85, 3.53, 0.43

5, 8.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.87, 3.54, 0.43

5, 8.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.89, 3.55, 0.39

5, 8.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.91, 3.57, 0.33

5, 8.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.93, 3.58, 0.30

5, 9.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.95, 3.59, 0.31

5, 9.20, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.97, 3.60, 0.32

5, 9.40, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 3.98, 3.61, 0.34

5, 9.60, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 4.00, 3.62, 0.36

5, 9.80, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 4.02, 3.62, 0.40

5, 10.00, 1.000, 1.00, 1.00, 100.00, 5.0e+02, 1.0e-02, 4.03, 3.63, 0.44
