
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
5, -5.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.23

5, -4.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.21

5, -4.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.20

5, -4.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.17

5, -4.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.15

5, -4.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.12

5, -4.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.10

5, -4.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.07

5, -4.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.05

5, -4.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -3.02

5, -4.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.99

5, -3.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.96

5, -3.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.93

5, -3.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.90

5, -3.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.87

5, -3.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.83

5, -3.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.80

5, -3.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.77

5, -3.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.73

5, -3.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.69

5, -3.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.65

5, -2.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.60

5, -2.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.56

5, -2.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.50

5, -2.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.44

5, -2.50, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.40

5, -2.40, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.33

5, -2.30, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.28

5, -2.20, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.21

5, -2.10, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.14

5, -2.00, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.10

5, -1.90, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -2.02

5, -1.80, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -1.94

5, -1.70, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -1.85

5, -1.60, 1.000, 0.95, 1.00, 100.00, 5.0e+03, 1.0e-03, -1.78

