N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree

65, -5.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -52.50

65, -4.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -52.24

65, -4.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -51.96

65, -4.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -51.69

65, -4.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -51.43

65, -4.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -51.17

65, -4.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -50.91

65, -4.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -50.68

65, -4.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -50.47

65, -4.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -50.24

65, -4.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -49.98

65, -4.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -49.77

65, -4.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -49.61

65, -4.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -49.45

65, -4.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -49.26

65, -4.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -49.11

65, -4.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.97

65, -4.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.80

65, -4.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.62

65, -4.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.52

65, -4.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.34

65, -3.95, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.22

65, -3.90, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -48.10

65, -3.85, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.95

65, -3.80, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.80

65, -3.75, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.65

65, -3.70, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.49

65, -3.65, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.33

65, -3.60, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.16

65, -3.55, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -47.08

65, -3.50, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -46.93

65, -3.45, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -46.76

65, -3.40, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -46.60

65, -3.35, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -46.40

65, -3.30, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -46.23

65, -3.25, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -46.06

65, -3.20, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -45.78

65, -3.15, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -45.45

65, -3.10, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -45.19

65, -3.05, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-03, -44.80

