
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree
17, -5.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.57

17, -4.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.54

17, -4.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.52

17, -4.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.49

17, -4.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.44

17, -4.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.44

17, -4.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.40

17, -4.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.39

17, -4.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.34

17, -4.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.32

17, -4.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.29

17, -4.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.26

17, -4.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.24

17, -4.35, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.20

17, -4.30, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.17

17, -4.25, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.15

17, -4.20, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.10

17, -4.15, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.07

17, -4.10, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.05

17, -4.05, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -12.01

17, -4.00, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.98

17, -3.95, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.94

17, -3.90, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.91

17, -3.85, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.84

17, -3.80, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.83

17, -3.75, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.77

17, -3.70, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.74

17, -3.65, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.66

17, -3.60, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.60

17, -3.55, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.55

17, -3.50, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.51

17, -3.45, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.42

17, -3.40, 1.000, 1.00, 0.90, 1000.00, 5.0e+03, 1.0e-03, -11.38

