
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,Ree,Ree_best,err,err1
5, 0.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, -0.07, -0.07, 2.45, 1.18

5, 0.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 0.22, 0.22, 1.44, 1.14

5, 0.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 0.50, 0.50, 1.87, 1.19

5, 0.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 0.80, 0.79, 1.91, 1.17

5, 0.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 0.99, 0.99, 1.98, 1.10

5, 1.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.22, 1.21, 2.34, 1.11

5, 1.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.51, 1.51, 0.34, 0.95

5, 1.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.68, 1.67, 2.12, 0.98

5, 1.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 1.84, 1.84, 0.73, 0.88

5, 1.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.02, 2.01, 1.20, 0.87

5, 2.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.11, 2.10, 0.94, 0.85

5, 2.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.30, 2.29, 0.77, 0.76

5, 2.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.38, 2.37, 0.77, 0.73

5, 2.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.48, 2.47, 0.79, 0.72

5, 2.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.59, 2.57, 0.73, 0.71

5, 3.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.70, 2.69, 0.73, 0.64

5, 3.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.79, 2.78, 0.60, 0.63

5, 3.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.84, 2.82, 0.56, 0.60

5, 3.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.86, 2.85, 0.15, 0.59

5, 3.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 2.94, 2.93, 0.18, 0.54

5, 4.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.00, 2.98, 0.42, 0.52

5, 4.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.03, 3.01, 0.47, 0.52

5, 4.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.07, 3.06, 0.07, 0.49

5, 4.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.15, 3.13, 0.13, 0.46

5, 4.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.17, 3.15, 0.27, 0.46

5, 5.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.22, 3.20, 0.08, 0.43

5, 5.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.25, 3.23, 0.04, 0.42

5, 5.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.28, 3.25, 0.28, 0.40

5, 5.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.31, 3.29, 0.04, 0.38

5, 5.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.34, 3.31, 0.12, 0.38

5, 6.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.37, 3.35, 0.07, 0.35

5, 6.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.39, 3.36, 0.11, 0.33

5, 6.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.42, 3.39, 0.04, 0.32

5, 6.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.44, 3.41, 0.06, 0.31

5, 6.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.45, 3.42, 0.04, 0.31

5, 7.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.46, 3.43, 0.09, 0.30

5, 7.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.48, 3.45, 0.03, 0.30

5, 7.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.49, 3.46, 0.11, 0.30

5, 7.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.51, 3.48, 0.01, 0.29

5, 7.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.52, 3.49, 0.07, 0.28

5, 8.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.54, 3.51, 0.01, 0.28

5, 8.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.56, 3.52, 0.06, 0.27

5, 8.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.57, 3.53, 0.01, 0.26

5, 8.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.58, 3.54, 0.05, 0.26

5, 8.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.58, 3.55, 0.10, 0.25

5, 9.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.59, 3.56, 0.12, 0.25

5, 9.20, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.60, 3.57, 0.13, 0.25

5, 9.40, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.62, 3.58, 0.12, 0.23

5, 9.60, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.63, 3.59, 0.11, 0.23

5, 9.80, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.64, 3.60, 0.09, 0.23

5, 10.00, 1.000, 1.00, 1.00, 1000.00, 3.0e+02, 1.0e-03, 3.65, 3.61, 0.05, 0.23
