
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
64, -5.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 312.52, 78.41, 0.2940, 3.6059

64, -4.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 312.12, 78.34, 0.2940, 3.5859

64, -4.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 311.74, 78.25, 0.2940, 3.5674

64, -4.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 311.38, 78.17, 0.2939, 3.5494

64, -4.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 311.01, 78.07, 0.2939, 3.5314

64, -4.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 310.63, 77.98, 0.2939, 3.5142

64, -4.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 310.28, 77.89, 0.2939, 3.4957

64, -4.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 309.92, 77.80, 0.2939, 3.4775

64, -4.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 309.58, 77.72, 0.2938, 3.4596

64, -4.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 309.24, 77.63, 0.2938, 3.4416

64, -4.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 308.90, 77.56, 0.2938, 3.4250

64, -4.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 308.54, 77.48, 0.2938, 3.4069

64, -4.40, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 308.17, 77.41, 0.2938, 3.3907

64, -4.35, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 307.78, 77.34, 0.2938, 3.3732

64, -4.30, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 307.39, 77.28, 0.2938, 3.3562

64, -4.25, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 306.97, 77.23, 0.2937, 3.3398

64, -4.20, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 306.56, 77.18, 0.2937, 3.3225

64, -4.15, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 306.13, 77.13, 0.2937, 3.3021

64, -4.10, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 305.69, 77.08, 0.2937, 3.2818

64, -4.05, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 305.27, 77.02, 0.2937, 3.2618

64, -4.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 304.83, 76.97, 0.2937, 3.2420

64, -3.95, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 304.39, 76.90, 0.2937, 3.2221

64, -3.90, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 303.95, 76.85, 0.2936, 3.2022

64, -3.85, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 303.49, 76.79, 0.2936, 3.1824

64, -3.80, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 303.00, 76.73, 0.2936, 3.1628

64, -3.75, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 302.50, 76.67, 0.2936, 3.1432

64, -3.70, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 301.98, 76.62, 0.2936, 3.1240

64, -3.65, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 301.44, 76.56, 0.2936, 3.1048

64, -3.60, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 300.90, 76.51, 0.2936, 3.0859

64, -3.55, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 300.34, 76.46, 0.2935, 3.0671

64, -3.50, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 299.76, 76.40, 0.2935, 3.0485

64, -3.45, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 299.17, 76.34, 0.2935, 3.0299

