
N,F,T,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
8, -5.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.73, 7.50, 28.0544, 12.5027

8, -4.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.71, 7.49, 28.0726, 12.4945

8, -4.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.70, 7.48, 28.0069, 12.4124

8, -4.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.68, 7.47, 28.0434, 12.4176

8, -4.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.65, 7.44, 28.0311, 12.3617

8, -4.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.64, 7.44, 28.0616, 12.3561

8, -4.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.63, 7.42, 28.0203, 12.2932

8, -4.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.60, 7.41, 28.0631, 12.2925

8, -4.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.60, 7.40, 28.0316, 12.2422

8, -4.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.57, 7.38, 28.0498, 12.2237

8, -4.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.55, 7.37, 28.0343, 12.1860

8, -4.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.55, 7.37, 28.0082, 12.1521

8, -4.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.52, 7.35, 28.0515, 12.1319

8, -4.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.50, 7.33, 28.0495, 12.0933

8, -4.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.48, 7.32, 28.0508, 12.0644

8, -4.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.46, 7.31, 28.0537, 12.0471

8, -4.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.45, 7.30, 28.0244, 11.9803

8, -4.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.43, 7.29, 28.0467, 11.9729

8, -4.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.40, 7.27, 28.1052, 11.9795

8, -4.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.39, 7.26, 28.0584, 11.9219

8, -4.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.38, 7.25, 28.0187, 11.8626

8, -3.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.36, 7.24, 27.9726, 11.8151

8, -3.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.33, 7.22, 28.0543, 11.8214

8, -3.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.32, 7.21, 28.0308, 11.8054

8, -3.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.29, 7.19, 28.0618, 11.7700

8, -3.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.28, 7.18, 28.0477, 11.7473

8, -3.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.28, 7.18, 27.9900, 11.6754

8, -3.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.26, 7.16, 28.0017, 11.6575

8, -3.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.24, 7.15, 28.0370, 11.6421

8, -3.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.21, 7.14, 28.0725, 11.6448

8, -3.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.18, 7.11, 28.0777, 11.6089

8, -3.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.18, 7.11, 28.0186, 11.5534

8, -3.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.16, 7.10, 28.0172, 11.5122

8, -3.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.15, 7.08, 28.0551, 11.5127

8, -3.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.12, 7.06, 28.0461, 11.4749

8, -3.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.11, 7.05, 28.0487, 11.4415

8, -3.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.09, 7.04, 28.0577, 11.4274

8, -3.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.08, 7.03, 28.0262, 11.3781

8, -3.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.04, 7.01, 28.0618, 11.3802

8, -3.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.04, 7.00, 28.0072, 11.3261

8, -3.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.02, 6.99, 28.0247, 11.2875

8, -2.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 6.00, 6.97, 28.0378, 11.2694

8, -2.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.98, 6.96, 28.0463, 11.2334

8, -2.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.97, 6.95, 28.0031, 11.1960

8, -2.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.95, 6.94, 28.0118, 11.1695

8, -2.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.93, 6.92, 28.0417, 11.1680

8, -2.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.91, 6.90, 28.0404, 11.1448

8, -2.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.89, 6.89, 28.0047, 11.0852

8, -2.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.88, 6.88, 28.0528, 11.0824

8, -2.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.86, 6.86, 28.0489, 11.0629

8, -2.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.83, 6.84, 28.0749, 11.0414

8, -2.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.83, 6.84, 28.0160, 10.9833

8, -2.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.79, 6.82, 28.0296, 10.9716

8, -2.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.78, 6.81, 28.0552, 10.9531

8, -2.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.77, 6.80, 27.9733, 10.8772

8, -2.25, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.75, 6.77, 28.0502, 10.8859

8, -2.20, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.73, 6.77, 28.0477, 10.8651

8, -2.15, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.72, 6.76, 28.0096, 10.8218

8, -2.10, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.70, 6.74, 28.0461, 10.8041

8, -2.05, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.68, 6.73, 28.0542, 10.7969

8, -2.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.66, 6.72, 28.0317, 10.7545

8, -1.95, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.64, 6.69, 28.0638, 10.7361

8, -1.90, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.62, 6.67, 28.0699, 10.7070

8, -1.85, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.60, 6.67, 28.0420, 10.6679

8, -1.80, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.59, 6.65, 28.0352, 10.6286

8, -1.75, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.56, 6.63, 28.0781, 10.6446

8, -1.70, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.56, 6.63, 28.0381, 10.5978

8, -1.65, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.54, 6.61, 28.0231, 10.5586

8, -1.60, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.52, 6.60, 27.9862, 10.5271

8, -1.55, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.51, 6.59, 28.0164, 10.5109

8, -1.50, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.49, 6.58, 27.9973, 10.4649

8, -1.45, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.46, 6.55, 28.0163, 10.4547

8, -1.40, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.45, 6.54, 28.0442, 10.4248

8, -1.35, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.43, 6.53, 28.0111, 10.3957

8, -1.30, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.42, 6.51, 28.0270, 10.3850

