N,Temperatura,B,EtaOnM,KOnM,Tiempo,dt,Cinetica,Potencial
4, 1.00, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.49, 0.50
8, 1.00, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.49, 0.50
16, 1.00, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.49, 0.50
32, 1.00, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.49, 0.49
64, 1.00, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.49, 0.47

4, 0.10, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.15, 0.05
8, 0.10, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.15, 0.05
16, 0.10, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.15, 0.05
64, 0.10, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.15, 0.05
128, 0.10, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.15, 0.04
256, 0.10, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.15, 0.03


4, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.02, 5.0e-03
8, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.01, 4.9e-03
16, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.01, 4.8e-03
32, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.01, 4.8e-03
64, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.01, 4.5e-03
128, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.01, 4.1e-03
256, 0.01, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.01, 3.4e-03



4, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 4.88e-04
8, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 4.90e-04
16, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 4.88e-04
32, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 4.79e-04
64, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 4.57e-04
128, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 4.17e-04
256, 1.00e-03, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.00, 3.42e-04
